Dataset,Accuracy,Acc. STD,F1,F1 STD
GestureMidAirD1,0.6446153846153846,0.015764539639937847,0.6353008956855111,0.01681085794970156
GestureMidAirD2,0.6276923076923077,0.028575654801548757,0.6131125711894942,0.03301149502008955
GestureMidAirD3,0.3169230769230769,0.01991104477776122,0.28378014228633425,0.018003191960376072
GesturePebbleZ1,0.8848837209302326,0.004864302479849285,0.8762320658796103,0.005312528237308819
GesturePebbleZ2,0.8417721518987342,0.012658227848101236,0.8409112027129929,0.012093770283995508
GunPointAgeSpan,0.979746835443038,0.003608150079427671,0.9794333634919683,0.0036586758348758127
GunPointMaleVersusFemale,0.9955696202531645,0.0017332992326112944,0.9953576378957558,0.0018076254345509497
GunPointOldVersusYoung,0.9853968253968254,0.006582997255024701,0.9862109630573213,0.0061262470646978
GunPoint,0.98,0.0,0.979591836734694,0.0
Ham,0.6838095238095239,0.02171762714474548,0.7127515237538615,0.01979932079774751
HandOutlines,0.9308108108108109,0.004098851591379219,0.9468928433092899,0.003031220838829106
Haptics,0.4961038961038961,0.015638434517912057,0.4769270845967196,0.015493024070339345
Herring,0.65,0.03921843874378479,0.5526084656084657,0.0366634014597884
HouseTwenty,0.9478991596638655,0.007030756525496448,0.9371629954074726,0.008093247472793526
InlineSkate,0.3796363636363636,0.010554854744509071,0.3829198648793627,0.012208431847028703
InsectEPGRegularTrain,0.757429718875502,0.01917644399407765,0.7256966117130793,0.01893491826163635
InsectEPGSmallTrain,0.7317269076305221,0.01641190099735147,0.6827334248895658,0.026309076681597637
InsectWingbeatSound,0.6391919191919192,0.005687146771821914,0.6244492641775654,0.005289476553157659
ItalyPowerDemand,0.9634596695821186,0.0026257057504579804,0.9633653252933162,0.002663877684974068
LargeKitchenAppliances,0.7946666666666666,0.00777460252646042,0.7924978854740373,0.008480886885811655
Lightning2,0.7377049180327869,0.011591914445681079,0.7633011413520633,0.010727689126676643
Lightning7,0.7452054794520548,0.022922192507782893,0.7385998869488019,0.02201703090301437
Mallat,0.9332196162046908,0.010103100521614394,0.9324813112645488,0.010899744987074148
Meat,0.96,0.014907119849998594,0.9599164578111946,0.014907119849998594
MedicalImages,0.7247368421052631,0.006269015394511366,0.6708524406764966,0.0065899600157300325
MelbournePedestrian,0.8590405904059041,0.006180055328057981,0.8560129399531429,0.006649123127901034
MiddlePhalanxOutlineAgeGroup,0.5376623376623376,0.025316348947555755,0.45927671115032886,0.02346999461407035
MiddlePhalanxOutlineCorrect,0.8199312714776632,0.006242578049685564,0.8488776064244701,0.005946676027257427
MiddlePhalanxTW,0.5233766233766234,0.016298571945468996,0.3718044599595296,0.012646888041559832
MixedShapesRegularTrain,0.9448247422680413,0.003049874158696998,0.9432590013580151,0.003384880308111123
MixedShapesSmallTrain,0.8999587628865979,0.008985528214409795,0.8961082677602668,0.009198874689894335
MoteStrain,0.9362619808306709,0.0038054726036970093,0.9297251230431718,0.004519570818534221
NonInvasiveFetalECGThorax1,0.8963867684478372,0.0033293490552256688,0.8890511673164151,0.003060224082145069
NonInvasiveFetalECGThorax2,0.9194910941475827,0.005450284268901912,0.9128172543239682,0.005591730535186559
