Dataset,Best Accuracy,Best F1
MixedShapesRegularTrain,0.9531546391752576,0.9521070775909116
MixedShapesSmallTrain,0.9043298969072164,0.9003985237312783
MoteStrain,0.9362619808306708,0.9297251230431718
NonInvasiveFetalECGThorax1,0.9202035623409668,0.9127427476622826
NonInvasiveFetalECGThorax2,0.9454452926208652,0.9392962135502791
OSULeaf,0.7743801652892562,0.763525432947273
OliveOil,0.88,0.8260939849624059
PLAID,0.9217877094972068,0.8657436789685575
PhalangesOutlinesCorrect,0.8321678321678322,0.869567435967371
Phoneme,0.2298523206751054,0.134248976878332
PickupGestureWiimoteZ,0.784,0.7688566988566988
PigAirwayPressure,0.173076923076923,0.1736421377767531
PigArtPressure,0.7548076923076923,0.743134856596395
PigCVP,0.6,0.5988042939966017
Plane,1.0,1.0
PowerCons,0.9833333333333332,0.9834005895884348
ProximalPhalanxOutlineAgeGroup,0.8585365853658536,0.7685401606429283
ProximalPhalanxOutlineCorrect,0.8920962199312715,0.9243392751177888
ProximalPhalanxTW,0.8009756097560976,0.5395890652539019
RefrigerationDevices,0.5237333333333333,0.5101346453976682
Rock,0.892,0.8924263545689228
ScreenType,0.4410666666666666,0.4406498008940555
SemgHandGenderCh2,0.925,0.8947844991424466
SemgHandMovementCh2,0.5582222222222222,0.5572887408798345
SemgHandSubjectCh2,0.8884444444444445,0.8888319535430812
ShakeGestureWiimoteZ,0.852,0.830016095016095
ShapeletSim,0.8866666666666667,0.8914022947891284
ShapesAll,0.8573333333333333,0.8481181329108797
SmallKitchenAppliances,0.8133333333333334,0.812205257023212
SmoothSubspace,0.964,0.96399799979998
SonyAIBORobotSurface1,0.805657237936772,0.8133514725273174
SonyAIBORobotSurface2,0.8799580272822665,0.8981522812897093
StarLightCurves,0.9800388538125304,0.9704092023521858
Strawberry,0.9778378378378378,0.9825757474831232
SwedishLeaf,0.9584,0.9590309173880556
Symbols,0.9593969849246232,0.9591543399358984
SyntheticControl,0.988,0.9879907358482948
ToeSegmentation1,0.9157894736842104,0.9090733181721342
ToeSegmentation2,0.8923076923076924,0.7459537733221944
Trace,1.0,1.0
TwoLeadECG,0.9942054433713784,0.9942155987348924
TwoPatterns,0.99895,0.9989334559291304
UMD,0.9930555555555556,0.993054801953337
UWaveGestureLibraryAll,0.9683417085427136,0.9680993298700858
UWaveGestureLibraryX,0.8072026800670017,0.7887704456828717
UWaveGestureLibraryY,0.7325516471245115,0.7237038602075434
UWaveGestureLibraryZ,0.756393076493579,0.7439839777920624
Wafer,0.9970149253731344,0.9983275833689308
Wine,0.9444444444444444,0.9411764705882352
WordSynonyms,0.7087774294670847,0.5837414023386598
WormsTwoClass,0.7272727272727273,0.7574512418471668
Worms,0.7142857142857143,0.67699390354967
Yoga,0.8955333333333333,0.9041233211833846
